date,store_id,year,month,day,week_day,holiday,actual_holiday,weekend,oil_price,euribor,consumer_confidence,inflation_index,consumer_prices,fao,pandemic_uncertainty,daily_nonfood_sales,daily_food_sales,daily_total_sales,supplier_revenue_monthly,cogs_payment,pos_commission_rate,waste_rate,daily_salary,services,logistics,marketing,it,admin,other,insurance,taxes,rent,cash_balance,net_inflow,pred_outflow,pred_inflow
2019-01-01,S005,2019,1,1,1,1,1,0,54.90999984741211,-0.308,101.2489,102.4,110.3,100.4632197383237,0.0,5165.18,28039.56,33204.74,0.0,0.0,-398.45687999999996,-730.5042799999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132075.77883999998,32075.77884,-2529111.5732935574,4188493.607171678
2019-01-02,S005,2019,1,2,2,0,0,0,54.90999984741211,-0.30801451612903225,101.24195161290324,102.40322580645162,110.3,100.4101152963056,0.0014263433333333334,6904.81,37483.24,44388.04385643867,0.0,0.0,-532.6565262772641,-976.5369648416507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174954.62920531974,42878.850365319755,-2867901.453673639,4185409.1921274154
2019-01-03,S005,2019,1,3,3,0,0,0,55.95000076293945,-0.3080290322580645,101.23500322580645,102.40645161290323,110.3,100.35701085428752,0.002852686666666667,7343.62,39865.39,47209.01776661531,0.0,0.0,-566.5082131993837,-1038.5983908655367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220558.54036787013,45603.91116255039,-2867775.148426503,4181694.331917516
2019-01-04,S005,2019,1,4,4,0,0,0,57.060001373291016,-0.30804354838709674,101.22805483870968,102.40967741935485,110.3,100.30390641226943,0.0042790300000000005,8170.54,44354.36,52524.89814015767,0.0,0.0,-630.298777681892,-1155.5477590834687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271297.5919712625,50739.051603392305,-2867554.65184777,4175209.1384254005
2019-01-05,S005,2019,1,5,5,1,0,1,57.060001373291016,-0.30805806451612905,101.22110645161291,102.41290322580646,110.3,100.25080197025135,0.005705373333333334,9031.82,49029.86,58061.67067689775,0.0,0.0,-696.740048122773,-1277.3567548917506,0.0,0.0,0.0,0.0,-8000.0,-7000.0,0.0,0.0,0.0,-45000.0,267385.1658451457,-3912.4261261167703,-2867298.4615529277,4167674.1297535454
2019-01-06,S005,2019,1,6,6,1,1,1,57.060001373291016,-0.3080725806451613,101.21415806451614,102.41612903225807,110.3,100.19769752823325,0.007131716666666667,6658.69,36147.18,42805.869021370265,0.0,0.0,-513.6704282564432,-941.7291184701457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308735.63531978935,41350.46947464367,-2867318.1749915914,4168253.936773086
2019-01-07,S005,2019,1,7,0,0,0,0,57.33000183105469,-0.30808709677419355,101.20720967741936,102.41935483870968,110.3,100.14459308621517,0.008558060000000001,6689.72,36315.65,43005.369425992234,0.0,0.0,-516.0644331119069,-946.1181273718291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350278.82218529785,41543.1868655085,-2867307.877806116,4167951.0783767463
2019-01-08,S005,2019,1,8,1,0,0,0,58.720001220703125,-0.3081016129032258,101.20026129032259,102.42258064516129,110.3,100.09148864419707,0.009984403333333334,6450.72,35018.22,41468.94554922798,0.0,0.0,-497.6273465907358,-912.3168020830155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390337.82358585205,40059.00140055423,-2867315.9877534523,4168189.606239575
2019-01-09,S005,2019,1,9,2,0,0,0,61.439998626708984,-0.30811612903225805,101.19331290322582,102.42580645161291,110.3,100.03838420217899,0.011410746666666667,6809.51,36965.91,43775.41717168023,0.0,0.0,-525.3050060601628,-963.059177776965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432624.87657369516,42287.052987843104,-2867209.954175818,4165070.9716032664
2019-01-10,S005,2019,1,10,3,0,0,0,61.68000030517578,-0.3081306451612903,101.18636451612903,102.42903225806452,110.3,99.98527976016089,0.01283709,7275.6,39496.1,46771.694794690084,0.0,0.0,-561.260337536281,-1028.9772854831817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45000.0,0.0,0.0,432806.3337453658,181.45717167061957,-2822104.243965268,4161961.8477635896
2019-01-11,S005,2019,1,11,4,0,0,0,60.47999954223633,-0.3081451612903226,101.17941612903226,102.43225806451613,110.3,99.93217531814281,0.014263433333333334,7898.02,42874.98,50773.0047441364,0.0,0.0,-609.2760569296369,-1117.0061043710007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481853.05632820155,49046.72258283576,-2821915.0005755797,4156395.865713919
2019-01-12,S005,2019,1,12,5,1,0,1,60.47999954223633,-0.30815967741935485,101.17246774193549,102.43548387096774,110.3,99.87907087612471,0.01568977666666667,6893.22,37420.34,44313.56476768048,0.0,0.0,-531.7627772121658,-974.8984248889705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524659.9598937809,42806.90356557934,-2822123.1138580157,4162516.8446091
2019-01-13,S005,2019,1,13,6,1,0,1,60.47999954223633,-0.3081741935483871,101.16551935483872,102.43870967741935,110.3,99.82596643410662,0.017116120000000002,6677.24,36247.9,42925.140066542175,0.0,0.0,-515.1016807985061,-944.3530814639278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566125.6451980607,41465.685304279745,-2822162.037866915,4163661.6684002555
2019-01-14,S005,2019,1,14,0,0,0,0,58.9900016784668,-0.30818870967741935,101.15857096774194,102.44193548387098,110.3,99.77286199208854,0.018542463333333335,6336.1,34395.99,40732.087921204715,0.0,0.0,-488.78505505445656,-896.1059342665037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605472.8421299444,39347.19693188375,-2822203.2273011873,4164873.1223494364
2019-01-15,S005,2019,1,15,1,0,0,0,60.63999938964844,-0.3082032258064516,101.15162258064517,102.44516129032259,110.3,99.71975755007044,0.01996880666666667,6198.87,33651.03,39849.9096811979,0.0,0.0,-478.19891617437486,-876.6980129863538,0.0,-70000.0,-20018.90120967742,-15000.0,0.0,0.0,-15014.175907258064,0.0,0.0,0.0,523934.77776504605,-81538.06436489831,-2818245.501974352,4166479.5749636637
2019-01-16,S005,2019,1,16,2,0,0,0,61.31999969482422,-0.30821774193548385,101.1446741935484,102.4483870967742,110.3,99.66665310805236,0.02139515,6805.6,36944.68,43750.28224015931,0.0,0.0,-525.0033868819118,-962.5062092835047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566197.55040904,42262.77264399389,-2818146.863125873,4163578.432361334
2019-01-17,S005,2019,1,17,3,0,0,0,61.18000030517578,-0.30823225806451615,101.13772580645161,102.45161290322581,110.3,99.61354866603426,0.022821493333333335,7117.09,38635.63,45752.7245802647,0.0,0.0,-549.0326949631765,-1006.5599407658234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610394.6823535757,44197.1319445357,-2818124.0714213615,4162908.0881109894
2019-01-18,S005,2019,1,18,4,0,0,0,62.70000076293945,-0.3082467741935484,101.13077741935484,102.45483870967742,110.3,99.56044422401618,0.024247836666666668,7969.94,43265.38,51235.3173154741,0.0,0.0,-614.8238077856893,-1127.1769809404302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659887.9988803236,49493.316526747985,-2904406.7207046906,4157921.5946407923
2019-01-19,S005,2019,1,19,5,1,0,1,62.70000076293945,-0.30826129032258065,101.12382903225807,102.45806451612903,110.3,99.50733978199808,0.02567418,6829.29,37073.3,43902.59082446625,0.0,0.0,-526.831089893595,-965.8569981382574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702297.901616758,42409.9027364344,-2904645.98712854,4164958.8424010705
2019-01-20,S005,2019,1,20,6,1,0,1,62.70000076293945,-0.3082758064516129,101.11688064516129,102.46129032258065,110.3,99.45423533998,0.027100523333333335,6495.16,35259.41,41754.56817697699,0.0,0.0,-501.05481812372386,-918.6004998934936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742632.8144757177,40334.91285895977,-3329589.5855133645,4167442.9253781457
2019-01-21,S005,2019,1,21,0,0,0,0,62.70000076293945,-0.30829032258064515,101.10993225806452,102.46451612903226,110.3,99.4011308979619,0.028526866666666668,6634.81,36017.52,42652.327831728675,0.0,0.0,-511.8279339807441,-938.3512122980308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783834.9631611676,41202.1486854499,-3329961.490320739,4178381.3020656384
2019-01-22,S005,2019,1,22,1,0,0,0,61.5,-0.3083048387096774,101.10298387096775,102.46774193548387,110.3,99.34802645594381,0.02995321,6338.09,34406.78,40744.870792494316,0.0,0.0,-488.9384495099318,-896.3871574348749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823194.5083467171,39359.54518554951,-3329701.7028185828,4170740.493178701
