date,net_inflow,cash_balance,pred_outflow,pred_inflow,daily_nonfood_sales,daily_food_sales,daily_total_sales,supplier_revenue_monthly,cogs_payment,pos_commission_rate,waste_rate,daily_salary,services,logistics,marketing,it,admin,other,insurance,taxes,rent,year,month,day,week_day,holiday,actual_holiday,weekend,oil_price,euribor,consumer_confidence,inflation_index,consumer_prices,fao,pandemic_uncertainty
2019-01-01,374553.16857,1374553.16857,-27870933.843675673,48080862.177410655,73603.84,310095.4,383699.23,0.0,0.0,-3386.88358,-5759.17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,1,1,1,1,0,54.90999984741211,-0.308,101.2489,102.4,110.3,100.4632197383237,0.0
2019-01-02,500700.358609234,1875253.527179234,-32474484.410003807,48045073.12008927,98393.41,414533.38,512926.7812146469,0.0,0.0,-4527.571193274402,-7698.851412138485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,2,2,0,0,0,54.90999984741211,-0.3080145161290322,101.24195161290324,102.40322580645162,110.3,100.4101152963056,0.0014263433333333
2019-01-03,532519.2189540138,2407772.746133248,-32473459.592524655,48001991.457408585,104646.44,440876.18,545522.6407914668,0.0,0.0,-4815.29909182706,-8188.122745625977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,3,3,0,0,0,55.95000076293945,-0.3080290322580645,101.23500322580644,102.40645161290324,110.3,100.35701085428752,0.0028526866666666
2019-01-04,592480.4117692863,3000253.157902534,-32471671.617303174,47926888.58787101,116429.86,490518.18,606948.0361174408,0.0,0.0,-5357.504849370795,-9110.11949878369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,4,4,0,0,0,57.060001373291016,-0.3080435483870967,101.22805483870968,102.40967741935484,110.3,100.30390641226944,0.00427903
2019-01-05,175932.8265953698,3176185.984497904,-32469594.319506127,47839639.05611174,128702.87,542222.64,670925.4919338494,0.0,0.0,-5922.238977218195,-10070.426361261358,0.0,0.0,0.0,0.0,-75000.0,-59000.0,0.0,0.0,0.0,-345000.0,2019,1,5,5,1,0,1,57.060001373291016,-0.308058064516129,101.22110645161293,102.41290322580646,110.3,100.25080197025136,0.0057053733333333
2019-01-06,482846.4164930931,3659032.400990997,-32469752.450240742,47846184.86363937,94885.88,399751.09,494636.9638639228,0.0,0.0,-4366.151268078172,-7424.396102751512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,6,6,1,1,1,57.060001373291016,-0.3080725806451613,101.21415806451614,102.41612903225808,110.3,100.19769752823323,0.0071317166666666
2019-01-07,485095.0941138321,4144127.495104829,-32469667.483177155,47842533.61352796,95328.01,401612.55,496940.5750376911,0.0,0.0,-4386.490968432043,-7458.989955426952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,7,0,0,0,0,57.33000183105469,-0.3080870967741935,101.20720967741936,102.41935483870968,110.3,100.14459308621517,0.00855806
2019-01-08,467762.7245617019,4611890.219666531,-32469731.675588958,47845141.89387117,91922.2,387262.79,479184.99117472325,0.0,0.0,-4229.768172029331,-7192.4984409920835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,8,1,0,0,0,58.720001220703125,-0.3081016129032258,101.2002612903226,102.42258064516128,110.3,100.09148864419709,0.0099844033333333
2019-01-09,493777.5785287082,5105667.798195239,-32468871.206505835,47808961.123725325,97034.74,408800.37,505835.1240912455,0.0,0.0,-4465.0148959994085,-7592.530666537925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,9,2,0,0,0,61.43999862670898,-0.308116129032258,101.19331290322582,102.42580645161291,110.3,100.038384202179,0.0114107466666666
2019-01-10,167573.1516805722,5273240.949875811,-32108013.252651043,47772879.824952975,103676.37,436779.62,540455.9762747358,0.0,0.0,-4770.620011643576,-8112.204582519953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-360000.0,0.0,0.0,2019,1,10,3,0,0,0,61.68000030517578,-0.3081306451612903,101.18636451612905,102.42903225806452,110.3,99.98527976016088,0.01283709
2019-01-11,572704.8775770857,5845945.827452897,-32106478.52803605,47708403.837753884,112545.74,474144.07,586689.8030046092,0.0,0.0,-5178.734153935638,-8806.191273587872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,11,4,0,0,0,60.47999954223633,-0.3081451612903226,101.17941612903226,102.43225806451612,110.3,99.9321753181428,0.0142634333333333
2019-01-12,499842.51527477143,6345788.342727669,-32108162.673493873,47778953.78108811,98227.36,413820.88,512048.23317776865,0.0,0.0,-4519.87601580315,-7685.84188719406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,12,5,1,0,1,60.47999954223633,-0.3081596774193548,101.17246774193548,102.43548387096774,110.3,99.87907087612471,0.0156897766666666
2019-01-13,484179.8642574093,6829968.206985078,-32108476.41909808,47792026.28538718,95149.62,400853.52,496003.13745362224,0.0,0.0,-4378.25090471597,-7445.022291496973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,13,6,1,0,1,60.47999954223633,-0.3081741935483871,101.16551935483872,102.43870967741935,110.3,99.82596643410662,0.01711612
2019-01-14,459441.421544643,7289409.62852972,-32108808.593243647,47805876.17208205,90288.34,380372.29,470660.6246350763,0.0,0.0,-4154.556424521097,-7064.646665912207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,14,0,0,0,0,58.9900016784668,-0.3081887096774193,101.15857096774194,102.44193548387098,110.3,99.77286199208854,0.0185424633333333
2019-01-15,-569831.2203242563,6719578.4082054645,-32076843.010978308,47824292.170371674,88332.75,372132.58,460465.3535224157,0.0,0.0,-4064.567392155488,-6911.6309504843,0.0,-570000.0,-223210.74848790324,-110000.0,0.0,0.0,-116109.62701612904,0.0,0.0,0.0,2019,1,15,1,0,0,0,60.63999938964844,-0.3082032258064516,101.15162258064515,102.4451612903226,110.3,99.71975755007044,0.0199688066666666
2019-01-16,493481.9122282167,7213060.320433681,-32076042.463896018,47790625.21720042,96978.38,408554.03,505532.40570483246,0.0,0.0,-4462.384029231844,-7588.109447383927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,16,2,0,0,0,61.31999969482422,-0.3082177419354838,101.1446741935484,102.4483870967742,110.3,99.66665310805236,0.02139515
2019-01-17,516066.71029533516,7729127.030729016,-32075856.21211417,47782720.07020226,101416.98,427251.75,528668.7343074132,0.0,0.0,-4666.616824321353,-7935.407187756746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,17,3,0,0,0,61.18000030517578,-0.3082322580645161,101.1377258064516,102.4516129032258,110.3,99.61354866603426,0.0228214933333333
2019-01-18,577905.3943070257,8307032.425036042,-33248974.4204562,47724938.36604387,113569.73,478447.75,592017.5081373878,0.0,0.0,-5225.8103072120075,-8886.3035231501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,18,4,0,0,0,62.70000076293945,-0.3082467741935484,101.13077741935484,102.45483870967742,110.3,99.56044422401618,0.0242478366666666
2019-01-19,495194.7079255355,8802227.132961577,-33250910.919609006,47806072.69572686,97315.73,409971.38,507287.0989048875,0.0,0.0,-4477.890596362478,-7614.500382989445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,19,5,1,0,1,62.70000076293945,-0.3082612903225806,101.12382903225809,102.45806451612904,110.3,99.50733978199808,0.02567418
2019-01-20,470964.58736499486,9273191.720326573,-38379678.89859737,47834619.60156152,92554.26,389911.05000000005,482465.3146650157,0.0,0.0,-4258.791064572169,-7241.936235448685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,20,6,1,0,1,62.70000076293945,-0.3082758064516129,101.11688064516127,102.46129032258064,110.3,99.45423533998,0.0271005233333333
2019-01-21,481089.0492193758,9754280.769545948,-38382689.81332296,47960820.75314737,94544.17,398292.87,492837.03441243176,0.0,0.0,-4350.3494854876335,-7397.635707568311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,21,0,0,0,0,62.70000076293945,-0.3082903225806451,101.10993225806452,102.46451612903226,110.3,99.4011308979619,0.0285268666666666
2019-01-22,459572.67254906,10213853.442095008,-38380584.086636536,47872416.69980706,90315.97,380479.28,470795.25942334783,0.0,0.0,-4155.788745795934,-7066.798128491853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,22,1,0,0,0,61.5,-0.3083048387096774,101.10298387096776,102.46774193548389,110.3,99.3480264559438,0.02995321
