date,day_sin,day_cos,weekday_sin,weekday_cos,month_sin,month_cos,weekend,holiday,actual_holiday,oil_price,euribor,consumer_confidence,inflation_index,consumer_prices,fao,pandemic_uncertainty,daily_nonfood_sales,daily_food_sales,daily_total_sales,supplier_revenue_monthly,cogs_payment,pos_commission_rate,waste_rate,daily_salary,services,logistics,marketing,it,admin,other,insurance,taxes,rent,cash_balance,net_inflow
2019-01-01,0.20129852008866006,0.9795299412524945,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,1,1,54.90999984741211,-0.308,101.2489,102.4,110.3,100.4632197383237,0.0,73603.84,310095.4,383699.23,0.0,0.0,-3386.88358,-5759.17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1374553.16857,374553.16857
2019-01-02,0.39435585511331855,0.9189578116202306,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,0,54.90999984741211,-0.3080145161290322,101.24195161290324,102.40322580645162,110.3,100.4101152963056,0.0014263433333333,98393.41,414533.38,512926.7812146469,0.0,0.0,-4527.571193274402,-7698.851412138485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1875253.527179234,500700.358609234
2019-01-03,0.5712682150947923,0.8207634412072763,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,55.95000076293945,-0.3080290322580645,101.23500322580644,102.40645161290324,110.3,100.35701085428752,0.0028526866666666,104646.44,440876.18,545522.6407914668,0.0,0.0,-4815.29909182706,-8188.122745625977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2407772.746133248,532519.2189540138
2019-01-04,0.72479278722912,0.6889669190756866,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,0,57.060001373291016,-0.3080435483870967,101.22805483870968,102.40967741935484,110.3,100.30390641226944,0.00427903,116429.86,490518.18,606948.0361174408,0.0,0.0,-5357.504849370795,-9110.11949878369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000253.157902534,592480.4117692863
2019-01-05,0.8486442574947509,0.5289640103269624,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,1,0,57.060001373291016,-0.308058064516129,101.22110645161293,102.41290322580646,110.3,100.25080197025136,0.0057053733333333,128702.87,542222.64,670925.4919338494,0.0,0.0,-5922.238977218195,-10070.426361261358,0.0,0.0,0.0,0.0,-75000.0,-59000.0,0.0,0.0,0.0,-345000.0,3176185.984497904,175932.8265953698
2019-01-06,0.9377521321470804,0.3473052528448203,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,1,1,1,57.060001373291016,-0.3080725806451613,101.21415806451614,102.41612903225808,110.3,100.19769752823323,0.0071317166666666,94885.88,399751.09,494636.9638639228,0.0,0.0,-4366.151268078172,-7424.396102751512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3659032.400990997,482846.4164930931
2019-01-07,0.9884683243281114,0.1514277775045767,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,57.33000183105469,-0.3080870967741935,101.20720967741936,102.41935483870968,110.3,100.14459308621517,0.00855806,95328.01,401612.55,496940.5750376911,0.0,0.0,-4386.490968432043,-7458.989955426952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4144127.495104829,485095.0941138321
2019-01-08,0.9987165071710528,-0.05064916883871264,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,0,58.720001220703125,-0.3081016129032258,101.2002612903226,102.42258064516128,110.3,100.09148864419709,0.0099844033333333,91922.2,387262.79,479184.99117472325,0.0,0.0,-4229.768172029331,-7192.498440992084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4611890.219666531,467762.7245617019
2019-01-09,0.9680771188662043,-0.2506525322587204,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,0,61.43999862670898,-0.308116129032258,101.19331290322582,102.42580645161291,110.3,100.038384202179,0.0114107466666666,97034.74,408800.37,505835.1240912455,0.0,0.0,-4465.0148959994085,-7592.530666537925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5105667.798195239,493777.5785287082
2019-01-10,0.8978045395707416,-0.4403941515576344,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,61.68000030517578,-0.3081306451612903,101.18636451612905,102.42903225806452,110.3,99.98527976016088,0.01283709,103676.37,436779.62,540455.9762747358,0.0,0.0,-4770.620011643576,-8112.204582519953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-360000.0,0.0,0.0,5273240.949875811,167573.1516805722
